bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,480.0,,21.908902300206645
0.5,0.0,,0.0
1.5,2,,1.4142135623730951
2.5,0.0,,0.0
3.5,1,,1.0
4.5,0.0,,0.0
5.5,0.0,,0.0
6.5,0.0,,0.0
7.5,9,,3.0
8.5,0.0,,0.0
9.5,1,,1.0
10.5,0.0,,0.0
11.5,2,,1.4142135623730951
12.5,0.0,,0.0
13.5,0.0,,0.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,0.0,,0.0
19.5,0.0,,0.0
20.5,0.0,,0.0
21.5,0.0,,0.0
22.5,0.0,,0.0
23.5,0.0,,0.0
24.5,0.0,,0.0
25.5,0.0,,0.0
26.5,0.0,,0.0
27.5,0.0,,0.0
28.5,0.0,,0.0
29.5,0.0,,0.0
30.5,0.0,,0.0
31.5,0.0,,0.0
32.5,0.0,,0.0
33.5,1.0,,1.0
34.5,0.0,,0.0
