bin_low_edge,contents,xtitle,binlabel
-0.01,0.0,,
0.0,0.1013,,
0.009999999776482582,0.0147,,
0.019999999552965164,0.1291,,
0.029999999329447746,0.0255,,
0.03999999910593033,0.1286,,
0.05000000074505806,0.0496,,
0.05999999865889549,0.1187,,
0.07000000029802322,0.0465,,
0.07999999821186066,0.09,,
0.09000000357627869,0.0438,,
0.10000000149011612,0.063,,
0.10999999940395355,0.0387,,
0.11999999731779099,0.0404,,
0.12999999523162842,0.0274,,
0.14000000059604645,0.024,,
0.15000000596046448,0.0141,,
0.1599999964237213,0.0142,,
0.17000000178813934,0.009,,
0.18000000715255737,0.0081,,
0.1899999976158142,0.0042,,
0.20000000298023224,0.0035,,
0.20999999344348907,0.0015,,
0.2199999988079071,0.002,,
0.23000000417232513,0.0005,,
0.23999999463558197,0.0007,,
0.25,0.0004,,
0.25999999046325684,0.0003,,
0.27000001072883606,0.0001,,
0.2800000011920929,0.0001,,
0.28999999165534973,0.0,,
0.30000001192092896,0.0,,
0.3100000023841858,0.0,,
0.3199999928474426,0.0,,
0.33000001311302185,0.0,,
0.3400000035762787,0.0,,
0.3499999940395355,0.0,,
0.36000001430511475,0.0,,
0.3700000047683716,0.0,,
0.3799999952316284,0.0,,
0.38999998569488525,0.0,,
0.4000000059604645,0.0,,
0.4099999964237213,0.0,,
0.41999998688697815,0.0,,
0.4300000071525574,0.0,,
0.4399999976158142,0.0,,
0.44999998807907104,0.0,,
0.46000000834465027,0.0,,
0.4699999988079071,0.0,,
0.47999998927116394,0.0,,
0.49000000953674316,0.0,,
0.5,0.0,,
0.5099999904632568,0.0,,
0.5199999809265137,0.0,,
0.5299999713897705,0.0,,
0.5400000214576721,0.0,,
0.550000011920929,0.0,,
0.5600000023841858,0.0,,
0.5699999928474426,0.0,,
0.5799999833106995,0.0,,
0.5899999737739563,0.0,,
0.6000000238418579,0.0,,
0.6100000143051147,0.0,,
0.6200000047683716,0.0,,
0.6299999952316284,0.0,,
0.6399999856948853,0.0,,
0.6499999761581421,0.0,,
0.6600000262260437,0.0,,
0.6700000166893005,0.0,,
0.6800000071525574,0.0,,
0.6899999976158142,0.0,,
0.699999988079071,0.0,,
0.7099999785423279,0.0,,
0.7200000286102295,0.0,,
0.7300000190734863,0.0,,
0.7400000095367432,0.0,,
0.75,0.0,,
0.7599999904632568,0.0,,
0.7699999809265137,0.0,,
0.7799999713897705,0.0,,
0.7900000214576721,0.0,,
0.800000011920929,0.0,,
0.8100000023841858,0.0,,
0.8199999928474426,0.0,,
0.8299999833106995,0.0,,
0.8399999737739563,0.0,,
0.8500000238418579,0.0,,
0.8600000143051147,0.0,,
0.8700000047683716,0.0,,
0.8799999952316284,0.0,,
0.8899999856948853,0.0,,
0.8999999761581421,0.0,,
0.9100000262260437,0.0,,
0.9200000166893005,0.0,,
0.9300000071525574,0.0,,
0.9399999976158142,0.0,,
0.949999988079071,0.0,,
0.9599999785423279,0.0,,
0.9700000286102295,0.0,,
0.9800000190734863,0.0,,
0.9900000095367432,0.0,,
1.0,0.0,,
