bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,493.0,,22.20360331117452
0.5,320.0,,17.88854381999832
1.5,102.0,,10.099504938362077
2.5,26.0,,5.0990195135927845
3.5,29.0,,5.385164807134504
4.5,1.0,,1.0
5.5,7.0,,2.6457513110645907
6.5,2.0,,1.4142135623730951
7.5,7.0,,2.6457513110645907
8.5,0.0,,0.0
9.5,0.0,,0.0
10.5,0.0,,0.0
11.5,0.0,,0.0
12.5,0.0,,0.0
13.5,0.0,,0.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,0.0,,0.0
18.5,0.0,,0.0
19.5,0.0,,0.0
20.5,0.0,,0.0
21.5,0.0,,0.0
22.5,0.0,,0.0
23.5,0.0,,0.0
24.5,0.0,,0.0
25.5,0.0,,0.0
26.5,0.0,,0.0
27.5,0.0,,0.0
28.5,0.0,,0.0
29.5,0.0,,0.0
30.5,0.0,,0.0
31.5,0.0,,0.0
32.5,0.0,,0.0
33.5,0.0,,0.0
34.5,0.0,,0.0
35.5,0.0,,0.0
36.5,0.0,,0.0
37.5,0.0,,0.0
38.5,0.0,,0.0
39.5,1.0,,1.0
40.5,0.0,,0.0
