bin_low_edge,contents,binlabel,error
-1.5,0.0,,0.0
-0.5,775.0,,27.83882181415011
0.5,9.0,,3.0
1.5,0.0,,0.0
2.5,0.0,,0.0
3.5,0.0,,0.0
4.5,0.0,,0.0
5.5,0.0,,0.0
6.5,0.0,,0.0
7.5,0.0,,0.0
8.5,0.0,,0.0
9.5,1.0,,1.0
10.5,0.0,,0.0
11.5,0.0,,0.0
12.5,0.0,,0.0
13.5,0.0,,0.0
14.5,0.0,,0.0
15.5,0.0,,0.0
16.5,0.0,,0.0
17.5,1.0,,1.0
18.5,0.0,,0.0
19.5,2.0,,1.4142135623730951
20.5,204.0,,14.2828568570857
21.5,379.0,,19.467922333931785
22.5,8.0,,2.8284271247461903
23.5,0.0,,0.0
24.5,0.0,,0.0
25.5,0.0,,0.0
26.5,0.0,,0.0
27.5,0.0,,0.0
28.5,0.0,,0.0
29.5,0.0,,0.0
30.5,0.0,,0.0
31.5,0.0,,0.0
32.5,0.0,,0.0
33.5,0.0,,0.0
34.5,0.0,,0.0
35.5,0.0,,0.0
36.5,0.0,,0.0
37.5,1.0,,1.0
38.5,0.0,,0.0
39.5,0.0,,0.0
40.5,0.0,,0.0
41.5,0.0,,0.0
42.5,1.0,,1.0
43.5,0.0,,0.0
